pid,nome,squadra,ruolo,ruolo_mantra,pfc,pma,pfc_range,pma_range,pfc_lo,pfc_hi,pma_lo,pma_hi,unc_pfc,dpfcpma,slot,tit,expfm,fascia,status,pen_prob,fk_prob,tix,fix,fix_contrib
b52e45b423cb875a,NZOLA,Cagliari,A,Pc,4.95,1.35,4-7,1-2,4.0,7.0,1.0,2.0,1.5,4.0,5,84.0,6.43,TitLowCost,B,70.0,0.0,56.3,46.0,0.361
6e4046644e4911f9,RAIMONDO,Frosinone,A,Pc,3.3,4.75,3-5,4-7,3.0,5.0,4.0,7.0,1.0,-2.0,5,88.0,6.36,TitLowCost,B,0.0,0.0,75.3,39.1,0.317
611e4aac52653620,KVERNADZE,Frosinone,A,W;A,2.85,4.5,3-4,3-7,3.0,4.0,3.0,7.0,0.5,-2.0,6,88.0,6.36,TitLowCost,T,0.0,10.0,75.3,39.1,0.317
54acefe2e1c414e4,NGONGE,Monza,A,A,1.65,1.15,2-3,1-2,2.0,3.0,1.0,2.0,0.5,1.0,6,88.0,6.34,TitLowCost,B,0.0,10.0,75.3,33.9,0.299
0ca89d93c33286b8,STULIC,Lecce,A,Pc,0.75,1.1,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,84.0,6.37,TitLowCost,B,20.0,0.0,56.3,35.1,0.311
6e0c3bd1e16994a5,ZAPATA D.,Torino,A,Pc,0.5,1.3,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,72.0,6.46,Jolly,P,10.0,0.0,29.9,40.8,0.331
ea814a331b9932fc,LUCCA,Napoli,A,Pc,0.5,1.8,1-1,2-3,1.0,1.0,2.0,3.0,0.0,-1.0,6,52.0,6.28,Riserva,P,0.0,0.0,13.2,16.1,0.146
9fcbf76bad91aec5,NOSLIN,Lazio,A,A,0.5,1.05,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,72.0,6.34,Jolly,P,0.0,0.0,29.9,28.2,0.245
39f89508da8da1cf,CAMARDA,Milan,A,Pc,0.5,1.45,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,71.0,6.21,Jolly,P,0.0,0.0,28.2,17.8,0.149
1db596d3aaff9b34,EKHATOR,Juventus,A,A,0.5,1.2,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,52.0,6.4,Riserva,P,0.0,0.0,13.2,25.9,0.208
954a8f8300eb589c,N'DRI,Lecce,A,W;A,0.5,1.3,1-1,2-2,1.0,1.0,2.0,2.0,0.0,0.0,6,84.0,6.18,TitLowCost,B,0.0,0.0,56.3,19.0,0.151
d747cc7ca3f01add,GIOVANE,Napoli,A,A,0.5,1.0,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,52.0,6.31,Riserva,P,0.0,0.0,13.2,21.3,0.161
e0175aa399886ecb,BORRELLI,Cagliari,A,Pc,0.5,1.1,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,52.0,6.28,Riserva,P,0.0,0.0,13.2,16.1,0.146
416b227fdbf454cb,BAYO V.,Udinese,A,Pc,0.5,0.85,1-1,1-1,1.0,1.0,1.0,1.0,0.0,0.0,6,52.0,6.19,Riserva,P,0.0,0.0,13.2,9.8,0.099
f628d0def488e29d,SULEMANA K.,Atalanta,A,A,0.5,1.05,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,44.0,6.35,Riserva,P,0.0,0.0,0.6,20.1,0.154
023abaf831815615,FRIGAN,Parma,A,A,0.5,1.0,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,49.0,6.16,Riserva,P,0.0,0.0,5.2,7.5,0.078
b190311113bfb8bd,GUEYE,Udinese,A,Pc,0.5,0.95,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,60.0,6.24,Riserva,P,0.0,0.0,23.0,14.4,0.144
5c757c2996cad7a6,TREPY,Cagliari,A,Pc,0.5,0.85,1-1,1-1,1.0,1.0,1.0,1.0,0.0,0.0,6,46.0,6.3,Riserva,P,0.0,0.0,1.7,12.6,0.138
c44727f632592d24,ELPHEGE,Parma,A,Pc,0.5,1.25,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,80.0,6.34,TitLowCost,P,0.0,0.0,44.3,31.6,0.272
43846e981c2f250e,KULENOVIC,Torino,A,Pc,0.5,0.95,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,74.0,6.28,Jolly,P,0.0,0.0,31.6,24.7,0.207
dcfa9685e0b0d726,GHEDJEMIS,Frosinone,A,W;A,0.5,2.8,1-1,2-4,1.0,1.0,2.0,4.0,0.0,-2.0,6,52.0,6.32,Riserva,P,0.0,20.0,13.2,22.4,0.166
a3b81e9c4cf130ca,ADORANTE,Venezia,A,Pc,0.5,1.1,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,48.0,6.52,Riserva,P,0.0,0.0,3.4,29.3,0.25
06750118262ea26d,RRAHMANI AL.,Venezia,A,Pc,0.5,1.15,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,78.0,6.4,TitLowCost,P,0.0,0.0,40.8,36.8,0.312
12f116a97ded58de,HAVEL,Genoa,A,Pc,0.5,1.15,1-1,2-2,1.0,1.0,2.0,2.0,0.0,0.0,6,64.0,6.56,Riserva,P,0.0,0.0,24.7,42.0,0.358
ec43b1b011adf98d,MOTA,Monza,A,A,0.5,1.25,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,60.0,6.23,Riserva,P,10.0,0.0,23.0,12.6,0.138
6f80aeac51c2e707,LAUBERBACH,Venezia,A,Pc,0.5,0.9,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,52.0,6.04,Riserva,P,0.0,0.0,13.2,6.3,0.021
3e32e913b694b2a2,LISMAN,Venezia,A,W;A,0.5,0.75,1-1,1-1,1.0,1.0,1.0,1.0,0.0,0.0,6,53.0,5.78,Riserva,P,0.0,0.0,17.8,0.6,-0.117
c763c50e286420f8,ROBINSON J.,Monza,A,A,0.5,0.9,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,54.0,5.81,Riserva,P,0.0,0.0,19.0,1.7,-0.103
94006155073be845,KEVIN CARLOS,Cagliari,A,Pc,0.5,2.3,1-1,2-4,1.0,1.0,2.0,4.0,0.0,-1.0,6,76.0,6.34,TitLowCost,P,0.0,0.0,36.8,30.5,0.258
f82b7d935718acde,MILIK,Juventus,A,Pc,0.5,1.05,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,51.0,6.33,Riserva,P,0.0,0.0,8.6,23.6,0.168
2f426fe2e8545d57,LONTANI,Parma,A,A,0.5,1.25,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,68.0,5.99,Riserva,P,0.0,0.0,25.9,4.0,-0.007
9670e510a124cda9,DE MARTIS,Parma,A,Pc,0.5,0.85,1-1,1-1,1.0,1.0,1.0,1.0,0.0,0.0,6,48.0,5.83,Riserva,P,0.0,0.0,3.4,2.9,-0.082
17c2751dc733855e,OSMAJIC,Genoa,A,Pc,0.5,1.0,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,78.0,6.4,TitLowCost,P,0.0,0.0,40.8,36.8,0.312
57cad85a55de744e,FATAH,Lecce,A,W;A,0.5,1.2,1-1,2-2,1.0,1.0,2.0,2.0,0.0,0.0,6,75.0,6.37,Jolly,P,0.0,0.0,33.3,32.8,0.278
77ad0d1ad6e519ab,BIRLIGEA,Frosinone,A,Pc,0.5,1.0,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,50.0,6.24,Riserva,P,0.0,0.0,6.9,10.9,0.12
3239dee7305998e8,ZEBALLOS,Monza,A,A,0.5,2.15,1-1,2-3,1.0,1.0,2.0,3.0,0.0,-1.0,6,56.0,6.15,Riserva,P,0.0,0.0,20.1,8.6,0.084
900e469d44a96caf,GNONTO,Fiorentina,A,W;A,0.5,2.0500000000000003,1-1,2-3,1.0,1.0,2.0,3.0,0.0,-1.0,6,76.0,6.32,TitLowCost,P,0.0,0.0,36.8,27.0,0.243
df5ea0f148bde470,ROBINHO JUNIOR,Genoa,A,A,0.5,1.05,1-1,1-2,1.0,1.0,1.0,2.0,0.0,0.0,6,50.0,6.01,Riserva,P,0.0,0.0,6.9,5.2,0.005
f9f05c914462a87f,ENEM,Bologna,A,Pc,0.5,0.5,1-1,1-1,1.0,1.0,1.0,1.0,0.0,0.0,6,59.0,6.73,Riserva,P,0.0,0.0,21.3,55.7,0.431
8042d7343d0d6d99,PAZ N.,Como,C,T;A,82.8,99.35,71-96,94-106,71.0,96.0,94.0,106.0,12.5,-16.0,1,92.0,7.27,Top,T,0.0,70.0,94.3,99.7,1.168
7c6d549aa96c5566,CALHANOGLU,Inter,C,M;C,68.7,84.05,59-80,80-90,59.0,80.0,80.0,90.0,10.5,-15.0,1,88.0,7.18,Top,T,70.0,70.0,76.6,99.2,1.038
919b9774cc435a4f,PULISIC,Milan,C,T;A,65.9,64.3,57-76,59-70,57.0,76.0,59.0,70.0,9.5,2.0,1,88.0,7.17,Top,T,20.0,20.0,76.6,98.7,1.03
2d300791358db5d5,ORSOLINI,Bologna,C,W;A,59.2,58.75,51-69,54-65,51.0,69.0,54.0,65.0,9.0,0.0,1,83.0,7.17,Top,B,70.0,70.0,52.3,97.7,0.971
4b97a2e3540ce9e3,MCTOMINAY,Napoli,C,C;T,59.05,73.05,51-68,67-80,51.0,68.0,67.0,80.0,8.5,-14.0,1,81.0,7.21,Top,T,0.0,0.0,50.8,98.2,0.98
67c04eea404d74b4,DE BRUYNE,Napoli,C,T,47.75,35.3,41-55,32-39,41.0,55.0,32.0,39.0,7.0,13.0,1,88.0,7.06,Top,B,70.0,70.0,76.6,97.1,0.933
a32afa05d4f3e19e,BATURINA,Como,C,T,45.6,50.55,37-55,47-55,37.0,55.0,47.0,55.0,9.0,-5.0,1,92.0,6.96,Semi-Top,T,0.0,0.0,94.3,96.6,0.883
091ffe863eef032e,ZACCAGNI,Lazio,C,W;A,41.349999999999994,40.65,34-50,38-45,34.0,50.0,38.0,45.0,8.0,0.0,1,92.0,6.89,Semi-Top,T,70.0,70.0,94.3,95.8,0.819
b150769a1b08373e,ATTA,Fiorentina,C,C;T,41.099999999999994,33.7,33-50,31-38,33.0,50.0,31.0,38.0,8.5,7.0,1,92.0,6.89,Semi-Top,T,0.0,0.0,94.3,95.8,0.819
0196391d461c7cce,VLASIC,Torino,C,T,40.349999999999994,21.7,33-49,20-24,33.0,49.0,20.0,24.0,8.0,18.0,1,92.0,6.88,Semi-Top,T,70.0,70.0,94.3,95.1,0.81
9ce981c799e3d58b,MASTANTUONO,Fiorentina,C,W;T,38.25,36.3,31-46,33-41,31.0,46.0,33.0,41.0,7.5,2.0,2,92.0,6.84,Semi-Top,T,70.0,70.0,94.3,93.5,0.773
4e9b0681e0712d0a,CONCEICAO,Juventus,C,W;A,37.3,32.9,30-45,30-37,30.0,45.0,30.0,37.0,7.5,4.0,2,88.0,6.89,Semi-Top,T,0.0,0.0,76.6,94.5,0.783
f621b1a077a27c6b,RABIOT,Milan,C,C;T,36.7,51.15,30-45,48-56,30.0,45.0,48.0,56.0,7.5,-14.0,2,92.0,6.82,Semi-Top,T,0.0,0.0,94.3,92.4,0.754
17ce90674e6ff20f,ALAJBEGOVIC,Juventus,C,W;T,36.45,25.1,30-44,21-30,30.0,44.0,21.0,30.0,7.0,11.0,2,86.0,6.9,OttimoTit,B,0.0,0.0,64.6,94.0,0.774
579d1bdfa3201ee9,MORA,Roma,C,T,35.75,39.0,29-43,36-43,29.0,43.0,36.0,43.0,7.0,-3.0,2,86.0,6.89,OttimoTit,T,0.0,0.0,64.6,93.0,0.765
67b7a8069a4cb4be,DA CUNHA,Como,C,C;T,35.3,34.35,29-43,31-38,29.0,43.0,31.0,38.0,7.0,1.0,2,92.0,6.79,OttimoTit,T,70.0,10.0,94.3,90.9,0.727
ada0b610ea74e7c6,ZIELINSKI,Inter,C,C,33.75,24.6,27-41,22-28,27.0,41.0,22.0,28.0,7.0,9.0,2,86.0,6.86,OttimoTit,B,20.0,10.0,64.6,91.4,0.74
f6e138363b917ec2,ZANIOLO,Udinese,C,T;A,32.75,27.5,27-40,25-31,27.0,40.0,25.0,31.0,6.5,5.0,2,83.0,6.9,OttimoTit,T,0.0,70.0,52.3,91.9,0.747
cf2538ef5a7e74c3,ROWE,Atalanta,C,W;T,30.849999999999998,27.7,25-38,24-32,25.0,38.0,24.0,32.0,6.5,3.0,2,88.0,6.78,OttimoTit,B,0.0,10.0,76.6,90.4,0.686
524286a6b7d0f1f1,BARELLA,Inter,C,C,29.9,33.2,24-36,31-37,24.0,36.0,31.0,37.0,6.0,-3.0,2,92.0,6.71,OttimoTit,T,0.0,0.0,94.3,89.8,0.653
